year,month,start_equity,end_equity,pnl,pnl_pct,withdrawn,positive
2019,8,4000.0,3967.4,-32.59999999999991,-0.008149999999999977,0.0,False
2019,9,3967.4,3967.4,0.0,0.0,0.0,False
2019,10,3967.4,3967.4,0.0,0.0,0.0,False
2019,11,3967.4,3877.0332069738643,-90.36679302613584,-0.02277733352476076,0.0,False
2019,12,3877.0332069738643,3877.0332069738643,0.0,0.0,0.0,False
2020,1,3877.0332069738643,3877.0332069738643,0.0,0.0,0.0,False
2020,2,3877.0332069738643,3877.0332069738643,0.0,0.0,0.0,False
2020,3,3877.0332069738643,3849.2384705386635,-27.794736435200775,-0.0071690736063866126,0.0,False
2020,4,3849.2384705386635,3849.2384705386635,0.0,0.0,0.0,False
2020,5,3849.2384705386635,3849.2384705386635,0.0,0.0,0.0,False
2020,6,3849.2384705386635,3824.8484705386636,-24.389999999999873,-0.00633631825792979,0.0,False
2020,7,3824.8484705386636,3824.8484705386636,0.0,0.0,0.0,False
2020,8,4000.0,4066.4748295066893,66.47482950668928,0.016618707376672318,33.23741475334464,True
2020,9,4033.2374147533446,4033.2374147533446,0.0,0.0,0.0,False
2020,10,4033.2374147533446,4105.154415809685,71.91700105634027,0.01783108546828216,35.958500528170134,True
2020,11,4069.1959152815148,4104.4159152815155,35.22000000000071,0.008655272622223726,17.610000000000355,True
2020,12,4086.805915281515,4062.415915281515,-24.389999999999873,-0.005967985880807309,0.0,False
2021,1,4062.415915281515,4040.741800138693,-21.674115142821847,-0.005335277232764554,0.0,False
2021,2,4040.741800138693,4121.059083540183,80.31728340148948,0.019876866024632577,40.15864170074474,True
2021,3,4080.900441839438,4153.300441839438,72.39999999999964,0.017741182621785753,36.19999999999982,True
2021,4,4117.100441839438,4092.710441839438,-24.389999999999873,-0.005924072133907647,0.0,False
2021,5,4092.710441839438,4061.029091983769,-31.68134985566894,-0.007740921403037249,0.0,False
2021,6,4061.029091983769,4099.410330031195,38.38123804742645,0.00945111132623717,19.190619023713225,True
2021,7,4080.219711007482,4053.5748543121176,-26.644856695364524,-0.0065302504724152255,0.0,False
2021,8,4000.0,4000.0,0.0,0.0,0.0,False
2021,9,4000.0,3938.201053787926,-61.79894621207404,-0.01544973655301851,0.0,False
2021,10,3938.201053787926,3938.201053787926,0.0,0.0,0.0,False
2021,11,3938.201053787926,3938.201053787926,0.0,0.0,0.0,False
2021,12,3938.201053787926,3909.4234711744725,-28.777582613453433,-0.007307291380102079,0.0,False
2022,1,3909.4234711744725,3909.4234711744725,0.0,0.0,0.0,False
2022,2,3909.4234711744725,3909.4234711744725,0.0,0.0,0.0,False
2022,3,3909.4234711744725,3883.4559933075784,-25.967477866894114,-0.006642278089943769,0.0,False
2022,4,3883.4559933075784,3990.0799358503787,106.62394254280025,0.02745594200798129,0.0,True
2022,5,3990.0799358503787,3965.3697753902743,-24.710160460104362,-0.006192898602879256,0.0,False
2022,6,3965.3697753902743,4010.5583147796738,45.188539389399466,0.011395794578817554,10.558314779673765,True
2022,7,4000.0,4000.0,0.0,0.0,0.0,False
2022,8,4000.0,4000.0,0.0,0.0,0.0,False
2022,9,4000.0,4059.6100000000006,59.61000000000013,0.014902500000000032,29.805000000000064,True
2022,10,4029.8050000000003,4029.8050000000003,0.0,0.0,0.0,False
2022,11,4029.8050000000003,4065.0250000000005,35.220000000000255,0.008739876991566652,17.610000000000127,True
2022,12,4047.4150000000004,4047.4150000000004,0.0,0.0,0.0,False
2023,1,4047.4150000000004,4047.4150000000004,0.0,0.0,0.0,False
2023,2,4047.4150000000004,4020.1134030836047,-27.301596916395738,-0.006745440464196465,0.0,False
2023,3,4020.1134030836047,4020.1134030836047,0.0,0.0,0.0,False
2023,4,4020.1134030836047,4056.7474534216553,36.6340503380502,0.009112690778809938,18.3170251690251,True
2023,5,4038.43042825263,4038.43042825263,0.0,0.0,0.0,False
2023,6,4038.43042825263,4005.83042825263,-32.59999999999991,-0.008072443138287628,0.0,False
2023,7,4005.83042825263,4120.1321624963175,114.3017342436874,0.028533842430655904,0.0,True
2023,8,4000.0,4072.3999999999996,72.39999999999964,0.018099999999999908,36.19999999999982,True
2023,9,4036.2,4108.599999999999,72.39999999999964,0.0179376641395371,36.19999999999982,True
2023,10,4072.3999999999996,4145.015016801264,72.61501680126548,0.01783101286741614,36.30750840063274,True
2023,11,4108.707508400632,4181.107508400632,72.39999999999964,0.017621113172931184,36.19999999999982,True
2023,12,4144.907508400632,4186.472147621959,41.564639221327525,0.010027880993022641,20.782319610663762,True
2024,1,4165.6898280112955,4133.499579279897,-32.19024873139824,-0.0077274713337852855,0.0,False
2024,2,4133.499579279897,4131.303802989004,-2.1957762908932636,-0.0005312148335275246,0.0,False
2024,3,4131.303802989004,4175.801552780373,44.49774979136873,0.010770873291665104,22.248874895684366,True
2024,4,4153.552677884689,4213.162677884689,59.61000000000058,0.01435156951719669,29.80500000000029,True
2024,5,4183.357677884689,4260.124009358899,76.76633147421035,0.018350410695225843,38.38316573710517,True
2024,6,4221.740843621794,4190.511186544153,-31.229657077640695,-0.007397341105108918,0.0,False
2024,7,4190.511186544153,4190.511186544153,0.0,0.0,0.0,False
2024,8,4000.0,4000.0,0.0,0.0,0.0,False
2024,9,4000.0,4000.0,0.0,0.0,0.0,False
2024,10,4000.0,4000.0,0.0,0.0,0.0,False
