month,pnl
2016-08,-27.633321037292262
2016-09,-26.571301353500303
2016-10,-14.670000000000073
2016-11,13.825471406310044
2016-12,87.3423835469473
2017-01,66.41824616994336
2017-02,-17.036681866254412
2017-03,100.87681925198854
2017-04,47.42363187598312
2017-05,73.12716839404584
2017-06,-42.583846741093566
2017-07,36.38619387337576
2017-08,-35.58029648036086
2017-09,19.83935017546719
2017-10,38.59882412607044
2017-11,81.82684572667722
2017-12,14.310471315873656
2018-01,1.823441762429411
2018-02,21.726150954539207
2018-03,-5.415785239697016
2018-04,107.64732334872633
2018-05,0.0
2018-06,56.837486460235596
2018-07,-114.28516299463763
2018-08,24.809826331103068
2018-09,28.012546620260764
2018-10,31.95332413926326
2018-11,-40.120232533110084
2018-12,-88.32245674809155
2019-01,103.9242461272479
2019-02,50.83999999999787
2019-03,56.50342055581177
2019-04,59.138076873723094
2019-05,51.00091331098429
2019-06,36.96034301022246
2019-07,58.80921646976276
2019-08,-25.61870200367457
2019-09,-17.030483307220038
2019-10,72.59871459305805
2019-11,-7.188034178026555
2019-12,79.3943449206131
2020-01,71.27931239407962
2020-02,24.797852156415047
2020-03,132.74899212071114
2020-04,10.29126623112279
2020-05,79.39387741120117
2020-06,8.72477718824075
2020-07,73.32087298907572
2020-08,-19.168719911407152
2020-09,31.19571899310904
2020-10,110.37366472296026
2020-11,-8.999809122678016
2020-12,-56.97585726780062
2021-01,-0.653401233166278
2021-02,86.1851107058983
2021-03,82.93922545738315
2021-04,47.62859358368905
2021-05,-83.0103285550349
2021-06,-108.23865105932737
2021-07,69.27388103306475
2021-08,-58.650362142801896
2021-09,10.10846704018968
2021-10,15.151340240377976
2021-11,20.084399497649883
2021-12,-47.380563632160374
2022-01,45.278555654188494
2022-02,36.654090812972754
2022-03,-109.35311033554262
2022-04,21.066834167386787
2022-05,-0.7592507648291758
2022-06,75.12617387692671
2022-07,-154.59281850041225
2022-08,-45.235330101083946
2022-09,52.06369048322176
2022-10,30.62063280735356
2022-11,69.14790427173284
2022-12,-22.820000000000164
2023-01,71.73868351147894
2023-02,28.183802312703392
2023-03,-30.86790041732411
2023-04,-17.32893753977487
2023-05,-25.720314038380366
2023-06,-37.52609524306354
2023-07,-28.434589026174763
2023-08,27.859999999999218
2023-09,46.5310268696453
2023-10,89.2303261937609
2023-11,80.31829428929905
2023-12,47.79396080704964
2024-01,-73.80996394494332
2024-02,-129.6205737069199
2024-03,91.5820820919912
2024-04,-20.849122352347422
2024-05,-0.022394825141873298
2024-06,-9.541069873206652
2024-07,61.62811733432409
2024-08,150.65737776429842
2024-09,68.18198242092558
2024-10,59.287700859234064
2024-11,31.774866385982477
2024-12,-41.03325048727129
2025-01,2.2837654790819215
2025-02,-36.62795212487072
2025-03,9.72725006357723
2025-04,88.30841845705027
2025-05,-43.31552647350054
2025-06,66.92633460057277
2025-07,202.10003254018375
2025-08,-98.24510926544735
2025-09,18.83870933582739
2025-10,169.93848031284915
2025-11,116.62920358116617
2025-12,0.0
2026-01,34.01448141516039
2026-02,-18.028133115464243
2026-03,7.994115129727106
2026-04,-44.23132701341956
2026-05,14.605613684086165
2026-06,104.28999999999905
2026-07,-12.906063653054389
