entry_time,exit_time,side,entry,exit,lots,pnl,reason
2016-08-29,2016-09-02,-1,1.1198862413787842,1.1245788934803174,0.06,-28.575912609198806,stop
2016-09-07,2016-09-09,1,1.1254257341003417,1.121573537498887,0.07,-27.455376210182465,stop
2016-09-14,2016-09-15,-1,1.1218086103820801,1.1233686103820801,0.19,-30.970000000000105,stop
2016-09-15,2016-09-16,1,1.1247928519821166,1.122303173566323,0.12,-30.71614098952473,stop
2016-09-19,2016-09-22,-1,1.1157873491668702,1.1229903512563086,0.04,-29.092008357753887,stop
2016-09-23,2016-09-26,1,1.1210734029388427,1.1240134029388427,0.19,54.529999999998914,tp
2016-10-04,2016-10-05,-1,1.120978556098938,1.122538556098938,0.19,-30.970000000000105,stop
2016-10-31,2016-11-01,1,1.0985265155410766,1.0969665155410766,0.19,-30.970000000000105,stop
2016-11-10,2016-11-14,-1,1.092000685157776,1.0760606851577759,0.03,47.61000000000019,tp
2016-12-06,2016-12-08,1,1.0757915158843994,1.0677315158843994,0.03,-24.389999999999866,stop
2016-12-09,2016-12-12,-1,1.062074861946106,1.0545551998554246,0.07,52.14763463477012,tp
2016-12-13,2016-12-14,1,1.064229406890869,1.062669406890869,0.19,-30.970000000000105,stop
2016-12-14,2016-12-15,-1,1.0628651003265381,1.0599251003265382,0.19,54.529999999998914,tp
2016-12-30,2017-01-02,1,1.0575896878814697,1.0495296878814697,0.03,-24.389999999999866,stop
2017-01-03,2017-01-04,-1,1.0459432224655152,1.0403343955955342,0.1,55.38826869980987,tp
2017-01-05,2017-01-06,1,1.0501492400741577,1.056565557179422,0.09,57.116853947378225,tp
2017-02-08,2017-02-14,-1,1.0677456478500367,1.0571919814096262,0.05,52.41833220205224,tp
2017-03-06,2017-03-07,1,1.062104620513916,1.0579768935979126,0.07,-29.38408841202368,stop
2017-03-07,2017-03-08,-1,1.0578611711883545,1.0549211711883546,0.19,54.529999999998914,tp
2017-03-10,2017-03-13,1,1.0579028506851196,1.0608428506851195,0.2,57.399999999998855,tp
2017-03-31,2017-04-19,-1,1.0686472277069092,1.072929300842285,0.04,-17.4082925415035,ma_exit
2017-04-19,2017-04-24,1,1.072929300842285,1.0872695342007261,0.04,57.08093343376414,tp
2017-05-11,2017-05-12,-1,1.087014637413025,1.0886497204040098,0.19,-32.39657682871128,stop
2017-05-15,2017-05-16,1,1.0927889724349975,1.1002562136597571,0.08,59.1779297980769,tp
2017-06-09,2017-06-12,-1,1.1184205631637574,1.1211571122262962,0.11,-30.87203968792724,stop
2017-06-26,2017-06-27,1,1.1199435372924804,1.1183835372924804,0.2,-32.600000000000115,stop
2017-06-27,2017-06-28,-1,1.1182956318283082,1.1198556318283082,0.2,-32.600000000000115,stop
2017-06-28,2017-07-18,1,1.1339754243469238,1.1499154243469238,0.03,47.61000000000019,tp
2017-08-16,2017-08-17,-1,1.1740623335266114,1.1775939723490183,0.08,-28.81311057925539,stop
2017-08-22,2017-08-23,1,1.1812553783035278,1.1770818684406035,0.07,-29.704569040470147,stop
