time,equity
2016-08-15,4000.0
2016-08-16,4000.0
2016-08-17,4000.0
2016-08-18,4000.0
2016-08-19,4000.0
2016-08-22,4000.0
2016-08-23,4000.0
2016-08-24,4000.0
2016-08-25,4000.0
2016-08-26,4000.0
2016-08-29,4000.0
2016-08-30,4000.0
2016-08-31,4000.0
2016-09-01,4000.0
2016-09-02,3971.424087390801
2016-09-05,3971.424087390801
2016-09-06,3971.424087390801
2016-09-07,3971.424087390801
2016-09-08,3971.424087390801
2016-09-09,3943.968711180619
2016-09-12,3943.968711180619
2016-09-13,3943.968711180619
2016-09-14,3943.968711180619
2016-09-15,3912.9987111806186
2016-09-16,3882.282570191094
2016-09-19,3882.282570191094
2016-09-20,3882.282570191094
2016-09-21,3882.282570191094
2016-09-22,3853.19056183334
2016-09-23,3853.19056183334
2016-09-26,3907.7205618333387
2016-09-27,3907.7205618333387
2016-09-28,3907.7205618333387
2016-09-29,3907.7205618333387
2016-09-30,3907.7205618333387
2016-10-03,3907.7205618333387
2016-10-04,3907.7205618333387
2016-10-05,3876.7505618333385
2016-10-06,3876.7505618333385
2016-10-07,3876.7505618333385
2016-10-10,3876.7505618333385
2016-10-11,3876.7505618333385
2016-10-12,3876.7505618333385
2016-10-13,3876.7505618333385
2016-10-14,3876.7505618333385
2016-10-17,3876.7505618333385
2016-10-18,3876.7505618333385
2016-10-19,3876.7505618333385
2016-10-20,3876.7505618333385
2016-10-21,3876.7505618333385
2016-10-24,3876.7505618333385
2016-10-25,3876.7505618333385
2016-10-26,3876.7505618333385
2016-10-27,3876.7505618333385
2016-10-28,3876.7505618333385
2016-10-31,3876.7505618333385
2016-11-01,3845.780561833338
2016-11-02,3845.780561833338
2016-11-03,3845.780561833338
2016-11-04,3845.780561833338
2016-11-07,3845.780561833338
2016-11-08,3845.780561833338
2016-11-09,3845.780561833338
2016-11-10,3845.780561833338
2016-11-11,3845.780561833338
2016-11-14,3893.3905618333383
2016-11-15,3893.3905618333383
2016-11-16,3893.3905618333383
2016-11-17,3893.3905618333383
2016-11-18,3893.3905618333383
2016-11-21,3893.3905618333383
2016-11-22,3893.3905618333383
2016-11-23,3893.3905618333383
2016-11-24,3893.3905618333383
2016-11-25,3893.3905618333383
2016-11-28,3893.3905618333383
2016-11-29,3893.3905618333383
2016-11-30,3893.3905618333383
2016-12-01,3893.3905618333383
2016-12-02,3893.3905618333383
2016-12-05,3893.3905618333383
2016-12-06,3893.3905618333383
2016-12-07,3893.3905618333383
2016-12-08,3869.0005618333385
2016-12-09,3869.0005618333385
2016-12-12,3921.1481964681084
2016-12-13,3921.1481964681084
2016-12-14,3890.178196468108
2016-12-15,3944.708196468107
2016-12-16,3944.708196468107
2016-12-19,3944.708196468107
2016-12-20,3944.708196468107
2016-12-21,3944.708196468107
2016-12-22,3944.708196468107
2016-12-23,3944.708196468107
2016-12-26,3944.708196468107
2016-12-27,3944.708196468107
2016-12-28,3944.708196468107
2016-12-29,3944.708196468107
2016-12-30,3944.708196468107
2017-01-02,3920.318196468107
2017-01-03,3920.318196468107
2017-01-04,3975.706465167917
2017-01-05,3975.706465167917
2017-01-06,4032.8233191152954
2017-01-09,4032.8233191152954
2017-01-10,4032.8233191152954
2017-01-11,4032.8233191152954
2017-01-12,4032.8233191152954
2017-01-13,4032.8233191152954
2017-01-16,4032.8233191152954
2017-01-17,4032.8233191152954
2017-01-18,4032.8233191152954
2017-01-19,4032.8233191152954
2017-01-20,4032.8233191152954
2017-01-23,4032.8233191152954
2017-01-24,4032.8233191152954
2017-01-25,4032.8233191152954
2017-01-26,4032.8233191152954
2017-01-27,4032.8233191152954
2017-01-30,4032.8233191152954
2017-01-31,4032.8233191152954
2017-02-01,4000.0
2017-02-02,4000.0
2017-02-03,4000.0
2017-02-06,4000.0
2017-02-07,4000.0
2017-02-08,4000.0
2017-02-09,4000.0
2017-02-10,4000.0
2017-02-13,4000.0
2017-02-14,4052.418332202052
2017-02-15,4052.418332202052
2017-02-16,4052.418332202052
2017-02-17,4052.418332202052
2017-02-20,4052.418332202052
2017-02-21,4052.418332202052
2017-02-22,4052.418332202052
2017-02-23,4052.418332202052
2017-02-24,4052.418332202052
2017-02-27,4052.418332202052
2017-02-28,4052.418332202052
2017-03-01,4026.2091661010263
2017-03-02,4026.2091661010263
2017-03-03,4026.2091661010263
2017-03-06,4026.2091661010263
2017-03-07,3996.8250776890027
2017-03-08,4051.3550776890015
2017-03-09,4051.3550776890015
2017-03-10,4051.3550776890015
2017-03-13,4108.755077689
2017-03-14,4108.755077689
2017-03-15,4108.755077689
2017-03-16,4108.755077689
2017-03-17,4108.755077689
2017-03-20,4108.755077689
2017-03-21,4108.755077689
2017-03-22,4108.755077689
2017-03-23,4108.755077689
2017-03-24,4108.755077689
2017-03-27,4108.755077689
2017-03-28,4108.755077689
2017-03-29,4108.755077689
2017-03-30,4108.755077689
2017-03-31,4108.755077689
2017-04-03,4067.4821218950133
2017-04-04,4067.4821218950133
2017-04-05,4067.4821218950133
2017-04-06,4067.4821218950133
2017-04-07,4067.4821218950133
2017-04-10,4067.4821218950133
2017-04-11,4067.4821218950133
2017-04-12,4067.4821218950133
2017-04-13,4067.4821218950133
2017-04-14,4067.4821218950133
2017-04-17,4067.4821218950133
2017-04-18,4067.4821218950133
2017-04-19,4050.0738293535096
2017-04-20,4050.0738293535096
2017-04-21,4050.0738293535096
2017-04-24,4107.154762787274
2017-04-25,4107.154762787274
2017-04-26,4107.154762787274
2017-04-27,4107.154762787274
2017-04-28,4107.154762787274
2017-05-01,4087.318442341144
2017-05-02,4087.318442341144
2017-05-03,4087.318442341144
2017-05-04,4087.318442341144
2017-05-05,4087.318442341144
2017-05-08,4087.318442341144
2017-05-09,4087.318442341144
2017-05-10,4087.318442341144
2017-05-11,4087.318442341144
2017-05-12,4054.9218655124328
2017-05-15,4054.9218655124328
2017-05-16,4114.09979531051
2017-05-17,4114.09979531051
2017-05-18,4114.09979531051
2017-05-19,4114.09979531051
2017-05-22,4114.09979531051
2017-05-23,4114.09979531051
2017-05-24,4114.09979531051
2017-05-25,4114.09979531051
2017-05-26,4114.09979531051
2017-05-29,4114.09979531051
2017-05-30,4114.09979531051
2017-05-31,4114.09979531051
2017-06-01,4100.709118825827
2017-06-02,4100.709118825827
2017-06-05,4100.709118825827
2017-06-06,4100.709118825827
2017-06-07,4100.709118825827
2017-06-08,4100.709118825827
2017-06-09,4100.709118825827
2017-06-12,4069.8370791379
2017-06-13,4069.8370791379
2017-06-14,4069.8370791379
2017-06-15,4069.8370791379
2017-06-16,4069.8370791379
2017-06-19,4069.8370791379
2017-06-20,4069.8370791379
2017-06-21,4069.8370791379
2017-06-22,4069.8370791379
2017-06-23,4069.8370791379
2017-06-26,4069.8370791379
2017-06-27,4037.2370791379003
2017-06-28,4004.6370791379004
2017-06-29,4004.6370791379004
2017-06-30,4004.6370791379004
2017-07-03,4004.6370791379004
2017-07-04,4004.6370791379004
2017-07-05,4004.6370791379004
2017-07-06,4004.6370791379004
2017-07-07,4004.6370791379004
2017-07-10,4004.6370791379004
2017-07-12,4004.6370791379004
2017-07-13,4004.6370791379004
2017-07-14,4004.6370791379004
2017-07-17,4004.6370791379004
2017-07-18,4052.2470791379005
2017-07-19,4052.2470791379005
2017-07-20,4052.2470791379005
2017-07-21,4052.2470791379005
2017-07-24,4052.2470791379005
2017-07-25,4052.2470791379005
2017-07-26,4052.2470791379005
2017-07-27,4052.2470791379005
2017-07-28,4052.2470791379005
