symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
GBPUSD,ema,89,slope_flip,1.5,17,0.5294,1.6574,0.0345,0.0323,0.0684,1.18,0.0,13.69,102.34,4035.61,4137.95,0.056499
GBPUSD,ema,89,slope_flip,2.0,17,0.4706,1.7889,0.0462,0.0327,0.0598,1.58,0.0,16.89,159.37,4025.42,4184.79,0.047782
GBPUSD,ema,89,slope_flip,2.5,17,0.4706,2.245,0.0729,0.0363,0.0598,2.49,0.0,20.43,253.62,4038.0,4291.62,0.045929
GBPUSD,ema,89,pullback,1.5,143,0.2238,0.4162,-0.3609,0.3609,0.1453,-12.34,0.0,31.02,0.0,2556.46,2556.46,0.066914
GBPUSD,ema,89,pullback,2.0,142,0.2113,0.5148,-0.3187,0.3187,0.1368,-10.9,0.0,36.6,0.0,2725.25,2725.25,0.063925
GBPUSD,ema,89,pullback,2.5,142,0.2042,0.6059,-0.272,0.2764,0.1538,-9.3,0.0,39.23,0.0,2912.08,2912.08,0.074692
GBPUSD,ema,100,flip,1.5,173,0.3988,0.903,-0.0709,0.1552,0.319,-2.44,0.0,42.19,136.84,3579.72,3716.57,0.176415
GBPUSD,ema,100,flip,2.0,173,0.3584,1.0445,0.0351,0.1228,0.319,1.21,0.0,50.38,417.83,3722.66,4140.5,0.171682
GBPUSD,ema,100,flip,2.5,173,0.3353,1.1843,0.1536,0.1325,0.3017,5.3,0.0,58.2,793.34,3821.07,4614.42,0.151514
GBPUSD,ema,100,slope_flip,1.5,9,0.7778,5.1196,0.0529,0.0127,0.0603,1.82,0.0,8.87,119.23,4092.28,4211.51,0.053628
GBPUSD,ema,100,slope_flip,2.0,9,0.4444,1.6585,0.0205,0.0306,0.0345,0.71,0.0,10.9,75.99,4006.0,4081.99,0.029419
GBPUSD,ema,100,slope_flip,2.5,9,0.4444,2.0809,0.0336,0.032,0.0345,1.16,0.0,13.08,95.16,4039.43,4134.59,0.028689
GBPUSD,ema,100,pullback,1.5,133,0.2331,0.4355,-0.3299,0.333,0.1379,-11.38,0.0,26.6,5.31,2674.99,2680.3,0.069038
GBPUSD,ema,100,pullback,2.0,132,0.2197,0.5366,-0.2877,0.2983,0.1552,-9.92,0.0,31.18,11.72,2837.5,2849.22,0.078351
GBPUSD,ema,100,pullback,2.5,131,0.2061,0.6308,-0.2349,0.2615,0.1466,-8.1,0.0,35.64,18.13,3042.21,3060.34,0.07487
GBPUSD,sma,21,flip,1.5,291,0.4089,0.953,-0.0557,0.1328,0.475,-1.86,0.0,43.6,104.06,3673.32,3777.38,0.266619
GBPUSD,sma,21,flip,2.0,291,0.378,1.1622,0.2059,0.1243,0.475,6.86,0.0,52.91,832.62,3991.16,4823.78,0.250363
GBPUSD,sma,21,flip,2.5,291,0.3436,1.2417,0.3277,0.1314,0.5,10.92,2.12,61.95,1303.18,4007.8,5310.98,0.244769
GBPUSD,sma,21,slope_flip,1.5,100,0.42,0.9995,-0.0002,0.0977,0.3083,-0.01,0.0,29.38,127.66,3871.52,3999.18,0.203486
GBPUSD,sma,21,slope_flip,2.0,100,0.4,1.2648,0.112,0.0795,0.3083,3.73,0.0,33.84,425.55,4022.48,4448.03,0.199462
GBPUSD,sma,21,slope_flip,2.5,100,0.35,1.2836,0.1303,0.0842,0.2833,4.34,0.0,37.16,506.46,4014.73,4521.19,0.177174
GBPUSD,sma,21,pullback,1.5,295,0.2136,0.3791,-0.6121,0.6121,0.2333,-20.4,-16.26,33.0,0.0,1551.52,1551.52,0.064076
GBPUSD,sma,21,pullback,2.0,292,0.2021,0.4686,-0.562,0.5664,0.2417,-18.73,-16.28,38.95,0.0,1752.05,1752.05,0.070477
GBPUSD,sma,21,pullback,2.5,288,0.191,0.5328,-0.5117,0.5306,0.2667,-17.06,-16.26,42.22,0.0,1953.17,1953.17,0.081936
GBPUSD,sma,34,flip,1.5,212,0.3726,0.8217,-0.1593,0.182,0.3445,-5.35,0.0,36.05,32.95,3329.9,3362.86,0.19428
GBPUSD,sma,34,flip,2.0,212,0.3349,0.9403,-0.0571,0.2008,0.3193,-1.92,0.0,43.51,352.53,3419.21,3771.74,0.165309
GBPUSD,sma,34,flip,2.5,212,0.316,1.0966,0.0983,0.1955,0.395,3.31,0.0,52.49,545.7,3847.67,4393.37,0.191856
GBPUSD,sma,34,slope_flip,1.5,75,0.4,0.9264,-0.0232,0.0993,0.2185,-0.78,0.0,24.56,187.02,3720.27,3907.29,0.15056
GBPUSD,sma,34,slope_flip,2.0,75,0.3467,0.996,-0.0013,0.1188,0.1933,-0.05,0.0,28.94,289.54,3705.09,3994.63,0.12507
GBPUSD,sma,34,slope_flip,2.5,75,0.3067,1.0602,0.0214,0.1356,0.1849,0.72,0.0,32.62,345.22,3740.39,4085.61,0.113516
GBPUSD,sma,34,pullback,1.5,240,0.2083,0.3827,-0.551,0.5582,0.1681,-18.52,-16.26,33.37,9.47,1786.49,1795.96,0.052402
GBPUSD,sma,34,pullback,2.0,238,0.1975,0.477,-0.5002,0.5115,0.1933,-16.81,-16.3,37.83,16.87,1982.37,1999.24,0.064104
GBPUSD,sma,34,pullback,2.5,233,0.176,0.5143,-0.4838,0.4838,0.2017,-16.26,-16.3,43.64,0.0,2064.75,2064.75,0.067358
GBPUSD,sma,50,flip,1.5,195,0.3641,0.8003,-0.1609,0.2169,0.3025,-5.41,0.0,36.98,109.09,3247.48,3356.57,0.162026
GBPUSD,sma,50,flip,2.0,195,0.3333,0.9391,-0.0539,0.1413,0.2941,-1.81,0.0,45.09,178.28,3605.95,3784.24,0.161531
GBPUSD,sma,50,flip,2.5,195,0.3231,1.1302,0.1217,0.1208,0.3361,4.09,0.0,53.43,750.64,3736.24,4486.88,0.177193
GBPUSD,sma,50,slope_flip,1.5,61,0.4098,0.9596,-0.0101,0.074,0.1681,-0.34,0.0,25.92,175.91,3783.54,3959.44,0.117541
GBPUSD,sma,50,slope_flip,2.0,61,0.3607,1.0658,0.0177,0.0884,0.1597,0.6,0.0,28.78,345.42,3725.56,4070.98,0.107045
GBPUSD,sma,50,slope_flip,2.5,61,0.3607,1.3309,0.0914,0.092,0.1597,3.07,0.0,34.95,585.43,3780.33,4365.76,0.10089
GBPUSD,sma,50,pullback,1.5,166,0.1747,0.3097,-0.4862,0.4862,0.1513,-16.34,0.0,29.88,0.0,2055.02,2055.02,0.056581
GBPUSD,sma,50,pullback,2.0,166,0.1687,0.4001,-0.4452,0.4452,0.1597,-14.96,0.0,34.27,0.0,2219.18,2219.18,0.062016
GBPUSD,sma,50,pullback,2.5,166,0.1627,0.478,-0.4016,0.4016,0.1765,-13.5,0.0,38.49,0.0,2393.79,2393.79,0.071301
GBPUSD,sma,55,flip,1.5,185,0.3784,0.8291,-0.1333,0.1755,0.2773,-4.48,0.0,34.55,67.97,3398.94,3466.9,0.159676
GBPUSD,sma,55,flip,2.0,185,0.3297,0.9044,-0.082,0.1281,0.2521,-2.76,0.0,38.94,24.65,3647.37,3672.02,0.147838
GBPUSD,sma,55,flip,2.5,185,0.2757,0.8828,-0.1087,0.116,0.2521,-3.65,0.0,45.8,10.83,3554.31,3565.14,0.14173
GBPUSD,sma,55,slope_flip,1.5,70,0.4429,1.0788,0.0225,0.0874,0.1849,0.76,0.0,26.75,295.9,3794.28,4090.18,0.126436
GBPUSD,sma,55,slope_flip,2.0,70,0.3857,1.1543,0.0484,0.077,0.1681,1.63,0.0,29.27,370.94,3822.86,4193.8,0.113572
GBPUSD,sma,55,slope_flip,2.5,70,0.3429,1.2102,0.0708,0.0786,0.1765,2.38,0.0,35.71,461.94,3821.34,4283.27,0.112417
GBPUSD,sma,55,pullback,1.5,152,0.1908,0.3405,-0.4346,0.4346,0.1345,-14.61,0.0,29.33,0.0,2261.42,2261.42,0.055622
GBPUSD,sma,55,pullback,2.0,150,0.1667,0.3888,-0.4206,0.4206,0.1261,-14.14,0.0,32.57,0.0,2317.59,2317.59,0.051902
GBPUSD,sma,55,pullback,2.5,150,0.1467,0.4155,-0.4157,0.4157,0.1092,-13.97,0.0,37.13,0.0,2337.22,2337.22,0.043597
GBPUSD,sma,89,flip,1.5,141,0.3759,0.8263,-0.1077,0.1372,0.2308,-3.68,0.0,29.32,86.79,3482.24,3569.02,0.145706
