time,equity
2016-08-15,4000.0
2016-08-16,4000.0
2016-08-17,4000.0
2016-08-18,4000.0
2016-08-19,4000.0
2016-08-22,3975.61
2016-08-23,3944.64
2016-08-24,3944.64
2016-08-25,3944.64
2016-08-26,3944.64
2016-08-29,3944.64
2016-08-30,3944.64
2016-08-31,3930.1400368881227
2016-09-01,3899.1700368881225
2016-09-02,3963.8143619712173
2016-09-05,3963.8143619712173
2016-09-06,3963.8143619712173
2016-09-07,3963.8143619712173
2016-09-08,3963.8143619712173
2016-09-09,3963.8143619712173
2016-09-12,3963.8143619712173
2016-09-13,3963.8143619712173
2016-09-14,3963.8143619712173
2016-09-15,3938.3795793296285
2016-09-16,3907.4095793296283
2016-09-19,3976.1895793296276
2016-09-20,3976.1895793296276
2016-09-21,3976.1895793296276
2016-09-22,3976.1895793296276
2016-09-23,3976.1895793296276
2016-09-26,3976.1895793296276
2016-09-27,3976.1895793296276
2016-09-28,3976.1895793296276
2016-09-29,3976.1895793296276
2016-09-30,3976.1895793296276
2016-10-03,3976.1895793296276
2016-10-04,3976.1895793296276
2016-10-05,3976.1895793296276
2016-10-06,3976.1895793296276
2016-10-07,3976.1895793296276
2016-10-10,3976.1895793296276
2016-10-11,3976.1895793296276
2016-10-12,3976.1895793296276
2016-10-13,3976.1895793296276
2016-10-14,3976.1895793296276
2016-10-17,3976.1895793296276
2016-10-18,3976.1895793296276
2016-10-19,3976.1895793296276
2016-10-20,3976.1895793296276
2016-10-21,3976.1895793296276
2016-10-24,3976.1895793296276
2016-10-25,3976.1895793296276
2016-10-26,3976.1895793296276
2016-10-27,3976.1895793296276
2016-10-28,3976.1895793296276
2016-10-31,3976.1895793296276
2016-11-01,3976.1895793296276
2016-11-02,3976.1895793296276
2016-11-03,3976.1895793296276
2016-11-04,4048.8504796975135
2016-11-07,4048.8504796975135
2016-11-08,4048.8504796975135
2016-11-09,4048.8504796975135
2016-11-10,4048.8504796975135
2016-11-11,4048.8504796975135
2016-11-14,4048.8504796975135
2016-11-15,4048.8504796975135
2016-11-16,4048.8504796975135
2016-11-17,4048.8504796975135
2016-11-18,4048.8504796975135
2016-11-21,4016.2504796975136
2016-11-22,4016.2504796975136
2016-11-23,3991.8604796975137
2016-11-24,3960.8904796975135
2016-11-25,4029.6704796975127
2016-11-28,4029.6704796975127
2016-11-29,4029.6704796975127
2016-11-30,3998.560522142247
2016-12-01,4072.004205184524
2016-12-02,4072.004205184524
2016-12-05,4072.004205184524
2016-12-06,4072.004205184524
2016-12-07,4072.004205184524
2016-12-08,4072.004205184524
2016-12-09,4072.004205184524
2016-12-12,4072.004205184524
2016-12-13,4072.004205184524
2016-12-14,4072.004205184524
2016-12-15,4072.004205184524
2016-12-16,4135.108094568936
2016-12-19,4135.108094568936
2016-12-20,4135.108094568936
2016-12-21,4135.108094568936
2016-12-22,4135.108094568936
2016-12-23,4135.108094568936
2016-12-26,4135.108094568936
2016-12-27,4135.108094568936
2016-12-28,4135.108094568936
2016-12-29,4135.108094568936
2016-12-30,4135.108094568936
2017-01-02,4066.834308355592
2017-01-03,4066.834308355592
2017-01-04,4066.834308355592
2017-01-05,4066.834308355592
2017-01-06,4066.834308355592
2017-01-09,4042.444308355592
2017-01-10,4042.444308355592
2017-01-11,4099.037573454064
2017-01-12,4099.037573454064
2017-01-13,4099.037573454064
2017-01-16,4099.037573454064
2017-01-17,4099.037573454064
2017-01-18,4099.037573454064
2017-01-19,4074.647573454064
2017-01-20,4074.647573454064
2017-01-23,4074.647573454064
2017-01-24,4074.647573454064
2017-01-25,4074.647573454064
2017-01-26,4074.647573454064
2017-01-27,4074.647573454064
2017-01-30,4074.647573454064
2017-01-31,4074.647573454064
2017-02-01,4070.7409409048278
2017-02-02,4070.7409409048278
2017-02-03,4070.7409409048278
2017-02-06,4070.7409409048278
2017-02-07,4070.7409409048278
2017-02-08,4038.140940904828
2017-02-09,4110.540940904827
2017-02-10,4110.540940904827
2017-02-13,4077.940940904827
2017-02-14,4077.940940904827
2017-02-15,4045.340940904827
2017-02-16,4045.340940904827
2017-02-17,4045.340940904827
2017-02-20,4045.340940904827
2017-02-21,4045.340940904827
2017-02-22,4045.340940904827
2017-02-23,4018.1045705530278
2017-02-24,4018.1045705530278
2017-02-27,3989.2856373403188
2017-02-28,3989.2856373403188
2017-03-01,3989.2856373403188
2017-03-02,3989.2856373403188
2017-03-03,3989.2856373403188
2017-03-06,3989.2856373403188
2017-03-07,4048.895637340319
2017-03-08,4048.895637340319
2017-03-09,4048.895637340319
2017-03-10,4048.895637340319
2017-03-13,4048.895637340319
2017-03-14,4048.895637340319
2017-03-15,4048.895637340319
2017-03-16,4048.895637340319
2017-03-17,4121.2956373403185
2017-03-20,4121.2956373403185
2017-03-21,4121.2956373403185
2017-03-22,4121.2956373403185
2017-03-23,4121.2956373403185
2017-03-24,4121.2956373403185
2017-03-27,4121.2956373403185
2017-03-28,4121.2956373403185
2017-03-29,4121.2956373403185
2017-03-30,4121.2956373403185
2017-03-31,4121.2956373403185
2017-04-03,4055.2906373403184
2017-04-04,4055.2906373403184
2017-04-05,4055.2906373403184
2017-04-06,4055.2906373403184
2017-04-07,4055.2906373403184
2017-04-10,4055.2906373403184
2017-04-11,4030.9006373403186
2017-04-12,4030.9006373403186
2017-04-13,4030.9006373403186
2017-04-14,4030.9006373403186
2017-04-17,4102.335260200024
2017-04-18,4102.335260200024
2017-04-19,4102.335260200024
2017-04-20,4102.335260200024
2017-04-21,4102.335260200024
2017-04-24,4102.335260200024
2017-04-25,4102.335260200024
2017-04-26,4102.335260200024
2017-04-27,4102.335260200024
2017-04-28,4102.335260200024
2017-05-01,4078.8129487701713
2017-05-02,4078.8129487701713
2017-05-03,4078.8129487701713
2017-05-04,4078.8129487701713
2017-05-05,4078.8129487701713
2017-05-08,4078.8129487701713
2017-05-09,4078.8129487701713
2017-05-10,4078.8129487701713
2017-05-11,4078.8129487701713
2017-05-12,4078.8129487701713
2017-05-15,4078.8129487701713
2017-05-16,4046.2129487701714
2017-05-17,4118.612948770171
2017-05-18,4118.612948770171
2017-05-19,4118.612948770171
2017-05-22,4118.612948770171
2017-05-23,4118.612948770171
2017-05-24,4118.612948770171
2017-05-25,4118.612948770171
2017-05-26,4118.612948770171
2017-05-29,4192.682454556527
2017-05-30,4192.682454556527
2017-05-31,4192.682454556527
2017-06-01,4135.747701663349
2017-06-02,4135.747701663349
2017-06-05,4135.747701663349
2017-06-06,4135.747701663349
2017-06-07,4103.147701663349
2017-06-08,4103.147701663349
2017-06-09,4103.147701663349
2017-06-12,4103.147701663349
2017-06-13,4103.147701663349
2017-06-14,4078.757701663349
2017-06-15,4078.757701663349
2017-06-16,4078.757701663349
2017-06-19,4078.757701663349
2017-06-20,4078.757701663349
2017-06-21,4078.757701663349
2017-06-22,4078.757701663349
2017-06-23,4078.757701663349
2017-06-26,4078.757701663349
2017-06-27,4078.757701663349
2017-06-28,4078.757701663349
2017-06-29,4151.975498806551
2017-06-30,4151.975498806551
2017-07-03,4143.86160023495
2017-07-04,4143.86160023495
2017-07-05,4143.86160023495
2017-07-06,4143.86160023495
2017-07-07,4143.86160023495
2017-07-10,4143.86160023495
2017-07-12,4143.86160023495
2017-07-13,4111.26160023495
2017-07-14,4184.893987981702
2017-07-17,4184.893987981702
2017-07-18,4184.893987981702
2017-07-19,4184.893987981702
2017-07-20,4184.893987981702
2017-07-21,4184.893987981702
2017-07-24,4184.893987981702
2017-07-25,4184.893987981702
