symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
USDJPY,ema,89,slope_flip,1.5,16,0.625,2.4153,0.0597,0.0371,0.0769,2.04,0.0,14.35,183.97,4054.75,4238.72,0.062803
USDJPY,ema,89,slope_flip,2.0,16,0.5625,2.5173,0.0743,0.0313,0.0769,2.54,0.0,15.71,215.06,4082.17,4297.24,0.062283
USDJPY,ema,89,slope_flip,2.5,16,0.5625,3.1563,0.1056,0.0322,0.0769,3.61,0.0,19.14,295.55,4126.87,4422.41,0.060075
USDJPY,ema,89,pullback,1.5,122,0.2459,0.4486,-0.3134,0.315,0.1624,-10.72,0.0,30.27,0.0,2746.31,2746.31,0.080708
USDJPY,ema,89,pullback,2.0,122,0.2295,0.5654,-0.2627,0.267,0.1624,-8.98,0.0,35.08,0.0,2949.16,2949.16,0.082755
USDJPY,ema,89,pullback,2.5,117,0.2137,0.6497,-0.2112,0.2192,0.1709,-7.22,0.0,39.15,0.0,3155.24,3155.24,0.08961
USDJPY,ema,100,flip,1.5,124,0.4355,1.0463,0.0242,0.122,0.2672,0.84,0.0,33.65,322.63,3774.33,4096.96,0.165179
USDJPY,ema,100,flip,2.0,124,0.3871,1.1502,0.0855,0.1225,0.25,2.95,0.0,37.16,567.1,3774.81,4341.91,0.149802
USDJPY,ema,100,flip,2.5,124,0.3387,1.1923,0.1168,0.1375,0.2672,4.03,0.0,41.93,719.84,3747.48,4467.32,0.151222
USDJPY,ema,100,slope_flip,1.5,11,0.3636,0.8466,-0.0073,0.0336,0.0259,-0.25,0.0,11.39,38.87,3931.93,3970.8,0.021877
USDJPY,ema,100,slope_flip,2.0,11,0.2727,0.7311,-0.0146,0.0398,0.0259,-0.5,0.0,9.92,24.34,3917.13,3941.48,0.022094
USDJPY,ema,100,slope_flip,2.5,11,0.2727,0.9167,-0.0045,0.0384,0.0259,-0.16,0.0,11.57,33.06,3948.82,3981.88,0.021727
USDJPY,ema,100,pullback,1.5,111,0.2072,0.3761,-0.3368,0.3451,0.1207,-11.61,0.0,26.8,3.87,2649.08,2652.94,0.059209
USDJPY,ema,100,pullback,2.0,110,0.1818,0.4329,-0.3175,0.3322,0.1034,-10.95,0.0,29.37,13.68,2716.42,2730.11,0.050534
USDJPY,ema,100,pullback,2.5,106,0.1698,0.4958,-0.2814,0.3082,0.1293,-9.7,0.0,31.56,41.18,2833.19,2874.37,0.06415
USDJPY,sma,21,flip,1.5,281,0.395,0.8809,-0.1373,0.2517,0.4333,-4.58,0.0,44.36,273.82,3177.12,3450.95,0.208582
USDJPY,sma,21,flip,2.0,281,0.3452,0.9577,-0.0536,0.2484,0.4083,-1.79,0.0,51.07,386.16,3399.26,3785.42,0.187317
USDJPY,sma,21,flip,2.5,281,0.3203,1.0685,0.0927,0.2541,0.4833,3.09,0.0,59.87,547.66,3822.98,4370.64,0.206208
USDJPY,sma,21,slope_flip,1.5,84,0.4762,1.2298,0.0764,0.06,0.275,2.55,0.0,26.37,366.25,3939.33,4305.58,0.194417
USDJPY,sma,21,slope_flip,2.0,84,0.4167,1.3138,0.1157,0.0684,0.2417,3.86,0.0,31.08,455.29,4007.61,4462.9,0.162146
USDJPY,sma,21,slope_flip,2.5,84,0.3571,1.2801,0.1136,0.0828,0.225,3.79,0.0,38.69,428.96,4025.27,4454.23,0.139092
USDJPY,sma,21,pullback,1.5,264,0.2197,0.3994,-0.5919,0.621,0.1583,-19.73,-16.25,28.91,55.71,1576.79,1632.5,0.044079
USDJPY,sma,21,pullback,2.0,261,0.2031,0.4921,-0.5351,0.5813,0.1917,-17.84,-16.25,36.1,90.12,1769.6,1859.72,0.0553
USDJPY,sma,21,pullback,2.5,260,0.1731,0.5005,-0.5396,0.5886,0.25,-17.99,-16.25,40.46,78.55,1763.13,1841.68,0.068297
USDJPY,sma,34,flip,1.5,242,0.4256,0.9928,-0.0073,0.1642,0.4286,-0.24,0.0,45.34,196.23,3774.67,3970.9,0.22864
USDJPY,sma,34,flip,2.0,242,0.3884,1.1537,0.1712,0.1295,0.395,5.76,0.0,51.41,642.13,4042.74,4684.87,0.209308
USDJPY,sma,34,flip,2.5,242,0.343,1.1941,0.2312,0.1711,0.4286,7.77,0.0,63.13,897.01,4027.98,4924.99,0.19857
USDJPY,sma,34,slope_flip,1.5,83,0.4217,1.0085,0.003,0.04,0.2521,0.1,0.0,26.96,80.49,3931.38,4011.88,0.181023
USDJPY,sma,34,slope_flip,2.0,83,0.3735,1.1157,0.044,0.0537,0.2269,1.48,0.0,30.44,200.91,3974.91,4175.82,0.155528
USDJPY,sma,34,slope_flip,2.5,83,0.3012,1.0049,0.002,0.1154,0.2017,0.07,0.0,36.6,62.31,3945.88,4008.19,0.122403
USDJPY,sma,34,pullback,1.5,210,0.219,0.3727,-0.5302,0.5302,0.1681,-17.82,-15.89,31.49,0.0,1879.28,1879.28,0.056661
USDJPY,sma,34,pullback,2.0,205,0.1902,0.4145,-0.5016,0.5131,0.1429,-16.86,-15.48,33.21,27.4,1966.17,1993.58,0.049151
USDJPY,sma,34,pullback,2.5,198,0.1616,0.4236,-0.4915,0.503,0.1765,-16.52,-16.04,37.13,24.75,2009.21,2033.96,0.059909
USDJPY,sma,50,flip,1.5,201,0.3781,0.8096,-0.1591,0.2545,0.2857,-5.35,0.0,41.57,148.21,3215.37,3363.58,0.140159
USDJPY,sma,50,flip,2.0,201,0.3284,0.8842,-0.1066,0.2066,0.2773,-3.58,0.0,48.2,199.56,3374.15,3573.7,0.137296
USDJPY,sma,50,flip,2.5,201,0.3085,1.0164,0.0161,0.1837,0.3613,0.54,0.0,56.77,352.39,3712.21,4064.6,0.172519
USDJPY,sma,50,slope_flip,1.5,68,0.3971,0.8806,-0.0349,0.1315,0.1597,-1.17,0.0,22.37,47.7,3812.81,3860.51,0.108363
USDJPY,sma,50,slope_flip,2.0,68,0.3235,0.858,-0.0462,0.1532,0.1429,-1.55,0.0,25.94,96.22,3719.07,3815.29,0.091352
USDJPY,sma,50,slope_flip,2.5,68,0.3088,1.0381,0.0128,0.1433,0.1681,0.43,0.0,33.3,126.02,3925.28,4051.3,0.101665
USDJPY,sma,50,pullback,1.5,189,0.1746,0.3015,-0.5521,0.5791,0.0924,-18.56,0.0,33.39,40.45,1750.95,1791.4,0.02745
USDJPY,sma,50,pullback,2.0,187,0.1604,0.3636,-0.5199,0.5581,0.1008,-17.48,0.0,36.84,54.14,1866.11,1920.25,0.030512
USDJPY,sma,50,pullback,2.5,185,0.1459,0.4126,-0.5031,0.5287,0.1429,-16.91,0.0,38.3,18.69,1968.9,1987.59,0.045529
USDJPY,sma,55,flip,1.5,193,0.3679,0.7705,-0.1867,0.2535,0.2857,-6.28,0.0,37.39,136.65,3116.58,3253.23,0.14536
USDJPY,sma,55,flip,2.0,193,0.3368,0.9089,-0.0821,0.188,0.2773,-2.76,0.0,42.84,182.27,3489.22,3671.49,0.146647
USDJPY,sma,55,flip,2.5,193,0.3212,1.0731,0.0708,0.1753,0.3361,2.38,0.0,51.28,399.91,3883.13,4283.04,0.168915
USDJPY,sma,55,slope_flip,1.5,70,0.4286,1.0122,0.0036,0.0785,0.2185,0.12,0.0,26.91,15.39,3998.87,4014.25,0.150664
USDJPY,sma,55,slope_flip,2.0,70,0.3857,1.1698,0.0537,0.0629,0.1933,1.8,0.0,32.57,243.98,3970.7,4214.69,0.128725
USDJPY,sma,55,slope_flip,2.5,70,0.3571,1.3038,0.1008,0.0653,0.1933,3.39,0.0,36.69,385.39,4017.99,4403.38,0.123859
USDJPY,sma,55,pullback,1.5,161,0.1925,0.3048,-0.4708,0.4911,0.1261,-15.82,0.0,30.73,19.73,2097.27,2116.99,0.046344
USDJPY,sma,55,pullback,2.0,159,0.1635,0.3486,-0.4599,0.4811,0.1345,-15.46,0.0,33.4,26.39,2133.82,2160.22,0.04922
