year,month,start_equity,end_equity,pnl,pnl_pct,withdrawn,positive
2016,8,4000.0,3930.1400368881227,-69.85996311187728,-0.01746499077796932,0.0,False
2016,9,3930.1400368881227,3976.1895793296276,46.049542441504855,0.011717023314509372,0.0,True
2016,10,3976.1895793296276,3976.1895793296276,0.0,0.0,0.0,False
2016,11,3976.1895793296276,3998.560522142247,22.370942812619433,0.005626226407542444,0.0,True
2016,12,3998.560522142247,4135.108094568936,136.54757242668938,0.03414918235463731,68.27378621334469,True
2017,1,4066.834308355592,4074.6475734540636,7.8132650984721295,0.0019212154973757443,3.9066325492360647,True
2017,2,4070.7409409048278,3989.2856373403188,-81.455303564509,-0.020009945301604833,0.0,False
2017,3,3989.2856373403188,4121.2956373403185,132.00999999999976,0.03309113761229984,66.00499999999988,True
2017,4,4055.2906373403184,4102.335260200024,47.04462285970567,0.011600801783854415,23.522311429852834,True
2017,5,4078.8129487701713,4192.682454556527,113.8695057863556,0.027917314967995557,56.9347528931778,True
2017,6,4135.747701663349,4151.975498806551,16.227797143201315,0.00392378798558594,8.113898571600657,True
2017,7,4143.86160023495,4184.893987981703,41.03238774675174,0.009901968672029315,20.51619387337587,True
2017,8,4164.377794108326,4208.503280738532,44.12548663020607,0.01059593745136041,22.062743315103035,True
2017,9,4186.440537423429,4186.440537423429,0.0,0.0,0.0,False
2017,10,4186.440537423429,4238.992985603527,52.5524481800976,0.01255301435917237,26.2762240900488,True
2017,11,4212.716761513479,4331.610452966834,118.89369145335513,0.028222569468601272,59.446845726677566,True
2017,12,4272.163607240156,4257.7815325542115,-14.382074685944644,-0.0033664615890578106,0.0,False
2018,1,4257.7815325542115,4257.7815325542115,0.0,0.0,0.0,False
2018,2,4257.7815325542115,4214.85646168531,-42.92507086890146,-0.010081557858406847,0.0,False
2018,3,4214.85646168531,4226.43136759103,11.574905905719788,0.0027462159176570304,5.787452952859894,True
2018,4,4220.64391463817,4261.8559277690665,41.212013130896594,0.009764389975653666,20.606006565448297,True
