time,equity
2016-08-15,4000.0
2016-08-16,4000.0
2016-08-17,4000.0
2016-08-18,4000.0
2016-08-19,4000.0
2016-08-22,4000.0
2016-08-23,4000.0
2016-08-24,4000.0
2016-08-25,4000.0
2016-08-26,4000.0
2016-08-29,4000.0
2016-08-30,4000.0
2016-08-31,4000.0
2016-09-01,4066.116666666667
2016-09-02,4066.116666666667
2016-09-05,4066.116666666667
2016-09-06,4066.116666666667
2016-09-07,4066.116666666667
2016-09-08,4035.8456284322365
2016-09-09,4035.8456284322365
2016-09-12,4005.7467841400535
2016-09-13,4005.7467841400535
2016-09-14,3975.334003526563
2016-09-15,3945.5487169984744
2016-09-16,3945.5487169984744
2016-09-19,3915.380310247863
2016-09-20,3883.190310247862
2016-09-21,3854.6004153467015
2016-09-22,3854.6004153467015
2016-09-23,3854.6004153467015
2016-09-26,3854.6004153467015
2016-09-27,3854.6004153467015
2016-09-28,3854.6004153467015
2016-09-29,3854.6004153467015
2016-09-30,3854.6004153467015
2016-10-03,3854.6004153467015
2016-10-04,3922.142527277823
2016-10-05,3922.142527277823
2016-10-06,3922.142527277823
2016-10-07,3922.142527277823
2016-10-10,3922.142527277823
2016-10-11,3922.142527277823
2016-10-12,3922.142527277823
2016-10-13,3922.142527277823
2016-10-14,3922.142527277823
2016-10-17,3922.142527277823
2016-10-18,3922.142527277823
2016-10-19,3922.142527277823
2016-10-20,3922.142527277823
2016-10-21,3922.142527277823
2016-10-24,3922.142527277823
2016-10-25,3922.142527277823
2016-10-26,3922.142527277823
2016-10-27,3922.142527277823
2016-10-28,3922.142527277823
2016-10-31,3922.142527277823
2016-11-01,3922.142527277823
2016-11-02,3922.142527277823
2016-11-03,3991.452527277823
2016-11-04,3991.452527277823
2016-11-07,3991.452527277823
2016-11-08,4060.7625272778228
2016-11-09,4060.7625272778228
2016-11-10,4060.7625272778228
2016-11-11,4060.7625272778228
2016-11-14,4060.7625272778228
2016-11-15,4060.7625272778228
2016-11-16,4060.7625272778228
2016-11-17,4060.7625272778228
2016-11-18,4060.7625272778228
2016-11-21,4060.7625272778228
2016-11-22,4060.7625272778228
2016-11-23,4060.7625272778228
2016-11-24,4060.7625272778228
2016-11-25,4060.7625272778228
2016-11-28,4060.7625272778228
2016-11-29,4060.7625272778228
2016-11-30,4060.7625272778228
2016-12-01,4000.0
2016-12-02,4000.0
2016-12-05,4000.0
2016-12-06,4000.0
2016-12-07,4000.0
2016-12-08,4000.0
2016-12-09,4000.0
2016-12-12,4000.0
2016-12-13,4000.0
2016-12-14,4000.0
2016-12-15,4000.0
2016-12-16,4000.0
2016-12-19,4000.0
2016-12-20,4000.0
2016-12-21,4000.0
2016-12-22,4000.0
2016-12-23,4000.0
2016-12-26,4000.0
2016-12-27,4000.0
2016-12-28,4000.0
2016-12-29,4000.0
2016-12-30,4000.0
2017-01-02,3970.82493847348
2017-01-03,3970.82493847348
2017-01-04,3970.82493847348
2017-01-05,3941.768257715091
2017-01-06,4011.078257715091
2017-01-09,4011.078257715091
2017-01-10,3977.7782577150897
2017-01-11,3950.561591048423
2017-01-12,3950.561591048423
2017-01-13,3950.561591048423
2017-01-16,3950.561591048423
2017-01-17,3950.561591048423
2017-01-18,3950.561591048423
2017-01-19,3950.561591048423
2017-01-20,3950.561591048423
2017-01-23,3950.561591048423
2017-01-24,3950.561591048423
2017-01-25,3950.561591048423
2017-01-26,3950.561591048423
2017-01-27,3950.561591048423
2017-01-30,3950.561591048423
2017-01-31,3920.2728791216778
2017-02-01,3920.2728791216778
2017-02-02,3920.2728791216778
2017-02-03,3920.2728791216778
2017-02-06,3920.2728791216778
2017-02-07,3983.576342961474
2017-02-08,3983.576342961474
2017-02-09,3983.576342961474
2017-02-10,3983.576342961474
2017-02-13,3983.576342961474
2017-02-14,4055.543234100122
2017-02-15,4055.543234100122
2017-02-16,4055.543234100122
2017-02-17,4055.543234100122
2017-02-20,4127.243234100122
2017-02-21,4127.243234100122
2017-02-22,4127.243234100122
2017-02-23,4095.5923416576306
2017-02-24,4095.5923416576306
2017-02-27,4095.5923416576306
2017-02-28,4095.5923416576306
2017-03-01,3980.286087519173
2017-03-02,3980.286087519173
2017-03-03,3980.286087519173
2017-03-06,3980.286087519173
2017-03-07,3980.286087519173
2017-03-08,3980.286087519173
2017-03-09,3980.286087519173
2017-03-10,3980.286087519173
2017-03-13,3980.286087519173
2017-03-14,3980.286087519173
2017-03-15,3980.286087519173
2017-03-16,3953.0694208525065
2017-03-17,3953.0694208525065
2017-03-20,3953.0694208525065
2017-03-21,3953.0694208525065
2017-03-22,4022.686448332066
2017-03-23,4022.686448332066
2017-03-24,4022.686448332066
2017-03-27,4022.686448332066
2017-03-28,4022.686448332066
2017-03-29,4022.686448332066
2017-03-30,4022.686448332066
2017-03-31,4022.686448332066
2017-04-03,4015.3095293608603
2017-04-04,4015.3095293608603
2017-04-05,4015.3095293608603
2017-04-06,4015.3095293608603
2017-04-07,4015.3095293608603
2017-04-10,4015.3095293608603
2017-04-11,4015.3095293608603
2017-04-12,4015.3095293608603
2017-04-13,4015.3095293608603
2017-04-14,4015.3095293608603
2017-04-17,4015.3095293608603
2017-04-18,4015.3095293608603
2017-04-19,4015.3095293608603
2017-04-20,4015.3095293608603
2017-04-21,4015.3095293608603
2017-04-24,4015.3095293608603
2017-04-25,3985.513273686439
2017-04-26,3953.323273686438
2017-04-27,3953.323273686438
2017-04-28,3953.323273686438
2017-05-01,3953.323273686438
2017-05-02,3953.323273686438
2017-05-03,3953.323273686438
2017-05-04,3953.323273686438
2017-05-05,3953.323273686438
2017-05-08,3953.323273686438
2017-05-09,4019.4399403531047
2017-05-10,4019.4399403531047
2017-05-11,4019.4399403531047
2017-05-12,4019.4399403531047
2017-05-15,4019.4399403531047
2017-05-16,4019.4399403531047
2017-05-17,4019.4399403531047
2017-05-18,4091.1399403531045
2017-05-19,4091.1399403531045
2017-05-22,4091.1399403531045
2017-05-23,4091.1399403531045
2017-05-24,4091.1399403531045
2017-05-25,4091.1399403531045
2017-05-26,4091.1399403531045
2017-05-29,4091.1399403531045
2017-05-30,4091.1399403531045
2017-05-31,4091.1399403531045
2017-06-01,4022.231607019771
2017-06-02,4022.231607019771
2017-06-05,4022.231607019771
2017-06-06,4022.231607019771
2017-06-07,4022.231607019771
2017-06-08,4022.231607019771
2017-06-09,4022.231607019771
2017-06-12,4022.231607019771
2017-06-13,4022.231607019771
2017-06-14,4022.231607019771
2017-06-15,4022.231607019771
2017-06-16,4022.231607019771
2017-06-19,4022.231607019771
2017-06-20,4022.231607019771
2017-06-21,4022.231607019771
2017-06-22,4022.231607019771
2017-06-23,4022.231607019771
2017-06-26,4022.231607019771
2017-06-27,4022.231607019771
2017-06-28,4022.231607019771
2017-06-29,4094.653186244329
2017-06-30,4094.653186244329
2017-07-03,4058.44239663205
2017-07-04,4058.44239663205
2017-07-05,4058.44239663205
2017-07-06,4058.44239663205
2017-07-07,4058.44239663205
2017-07-10,4058.44239663205
2017-07-12,4058.44239663205
2017-07-13,4058.44239663205
2017-07-14,4058.44239663205
2017-07-17,4058.44239663205
2017-07-18,4058.44239663205
2017-07-19,4058.44239663205
2017-07-20,4058.44239663205
2017-07-21,4126.259236170227
2017-07-24,4126.259236170227
2017-07-25,4126.259236170227
2017-07-26,4126.259236170227
2017-07-27,4126.259236170227
2017-07-28,4126.259236170227
2017-07-31,4126.259236170227
2017-08-01,4092.3508164011387
2017-08-02,4092.3508164011387
