entry_time,exit_time,side,entry,exit,lots,pnl,reason
2016-08-19,2016-08-22,1,1.3167156358337402,1.3086556358337402,0.03,-24.389999999999866,stop
2016-08-22,2016-08-23,-1,1.3055423120880127,1.3071023120880128,0.19,-30.970000000000105,stop
2016-08-23,2016-08-31,1,1.3137752194976806,1.3090118984603882,0.03,-14.499963111877134,ma_exit
2016-08-31,2016-09-01,-1,1.3090118984603882,1.3105718984603882,0.19,-30.970000000000105,stop
2016-09-01,2016-09-02,1,1.313430108604431,1.3227350121877304,0.07,64.64432508309493,tp
2016-09-14,2016-09-15,-1,1.3193752388381959,1.325663934498593,0.04,-25.434782641588548,stop
2016-09-15,2016-09-16,1,1.326495923576355,1.324935923576355,0.19,-30.970000000000105,stop
2016-09-16,2016-09-19,-1,1.324706516685486,1.321016516685486,0.19,68.77999999999945,tp
2016-11-03,2016-11-04,1,1.230526365814209,1.2487615909061804,0.04,72.66090036788603,tp
2016-11-18,2016-11-21,-1,1.2409426788711548,1.2425026788711548,0.2,-32.600000000000115,stop
2016-11-22,2016-11-23,1,1.2494352241134643,1.2413752241134643,0.03,-24.389999999999866,stop
2016-11-23,2016-11-24,-1,1.2423303942108155,1.2438903942108155,0.19,-30.970000000000105,stop
2016-11-24,2016-11-25,1,1.2433771272277832,1.2470671272277831,0.19,68.77999999999945,tp
2016-11-29,2016-11-30,-1,1.2410966972732544,1.2449154419676627,0.08,-31.109957555265904,stop
2016-11-30,2016-12-01,1,1.2492792983627319,1.2615899122031113,0.06,73.44368304227675,tp
2016-12-15,2016-12-16,-1,1.2537642340087891,1.2410734561319066,0.05,63.10388938441277,tp
2017-01-06,2017-01-09,1,1.2426047702407836,1.2345447702407837,0.03,-24.389999999999866,stop
2017-01-09,2017-01-11,-1,1.2260312656784058,1.2070968439789151,0.03,56.593265098471996,tp
2017-01-18,2017-01-19,1,1.2388643403625488,1.2308043403625488,0.03,-24.389999999999866,stop
2017-02-07,2017-02-08,-1,1.2467760662460328,1.2483360662460328,0.2,-32.600000000000115,stop
2017-02-08,2017-02-09,1,1.2496850867843627,1.2533750867843627,0.2,72.39999999999941,tp
2017-02-10,2017-02-13,-1,1.2497524837875367,1.2513124837875367,0.2,-32.600000000000115,stop
2017-02-14,2017-02-15,1,1.2523610969161987,1.2508010969161987,0.2,-32.600000000000115,stop
2017-02-15,2017-02-23,-1,1.246978245201111,1.2523555192714708,0.05,-27.236370351799643,stop
2017-02-24,2017-02-27,1,1.255678929862976,1.2485441965597988,0.04,-28.818933212709062,stop
2017-02-27,2017-03-07,-1,1.2398963789367676,1.2199563789367676,0.03,59.6100000000002,tp
2017-03-16,2017-03-17,1,1.2284857411956787,1.2321757411956786,0.2,72.39999999999941,tp
2017-04-10,2017-04-11,-1,1.2374565224075318,1.2455165224075317,0.03,-24.389999999999866,stop
2017-04-12,2017-04-17,1,1.2492947955703735,1.2582941234278366,0.08,71.43462285970526,tp
2017-05-15,2017-05-16,-1,1.2885998110198975,1.2901598110198975,0.2,-32.600000000000115,stop
2017-05-16,2017-05-17,1,1.2903659720993041,1.2940559720993041,0.2,72.39999999999941,tp
2017-05-26,2017-05-29,-1,1.293266497077942,1.2892981020365548,0.19,74.06950578635546,tp
2017-06-06,2017-06-07,1,1.2907989402389526,1.2892389402389526,0.2,-32.600000000000115,stop
2017-06-09,2017-06-14,-1,1.2722370247268677,1.2802970247268677,0.03,-24.389999999999866,stop
2017-06-28,2017-06-29,1,1.281355657157898,1.2997301064436984,0.04,73.2177971432018,tp
2017-07-12,2017-07-13,-1,1.2858986477279664,1.2874586477279664,0.2,-32.600000000000115,stop
2017-07-13,2017-07-14,1,1.2894343515014648,1.29476380776909,0.14,73.63238774675216,tp
2017-08-07,2017-08-15,-1,1.3046395401382447,1.291808714633236,0.06,76.56495303005214,tp
2017-08-29,2017-08-30,1,1.2927678008651733,1.2909295969593,0.17,-32.43946639984616,stop
2017-10-02,2017-10-03,-1,1.3393452982330323,1.3346197382932723,0.16,74.48895903615971,tp
2017-10-16,2017-10-17,1,1.3289460321044921,1.3273860321044921,0.21,-34.23000000000012,stop
2017-10-17,2017-10-18,-1,1.3252333025360108,1.319442312086671,0.13,74.3728758414179,tp
2017-10-26,2017-10-27,1,1.327411450920105,1.320091604245735,0.04,-29.559386697480093,stop
2017-10-27,2017-10-31,-1,1.3129652361297608,1.3210252361297607,0.04,-32.519999999999825,stop
2017-10-31,2017-11-01,1,1.3213082929229736,1.3267635565982132,0.14,75.39369145335482,tp
2017-11-03,2017-11-06,-1,1.30526968044281,1.31332968044281,0.04,-32.519999999999825,stop
2017-11-15,2017-11-17,1,1.3158494611358642,1.3195394611358642,0.21,76.01999999999937,tp
2017-12-12,2017-12-14,-1,1.334875188293457,1.3389737932315182,0.07,-29.18023456642794,stop
2017-12-14,2017-12-15,1,1.3410278936004638,1.3386037581808579,0.13,-32.42376045487742,stop
2017-12-18,2017-12-19,-1,1.3316752533340455,1.3397352533340454,0.03,-24.389999999999866,stop
2017-12-28,2017-12-29,1,1.3404527087783813,1.3456378459451928,0.14,71.61192033536044,tp
2018-02-06,2018-02-08,-1,1.3943094829940796,1.4023694829940796,0.03,-24.389999999999866,stop
2018-02-15,2018-02-16,1,1.401641048965454,1.406665377574194,0.15,74.31492913109872,tp
2018-02-20,2018-02-21,-1,1.3992068390274048,1.4007668390274048,0.21,-34.23000000000012,stop
2018-02-21,2018-02-22,1,1.4001691718673706,1.3986091718673705,0.21,-34.23000000000012,stop
2018-02-22,2018-02-23,-1,1.3909539799118043,1.3990139799118042,0.03,-24.389999999999866,stop
2018-03-08,2018-03-09,1,1.3906871457672119,1.3891271457672119,0.21,-34.23000000000012,stop
2018-03-09,2018-03-12,-1,1.3805070738220215,1.3885670738220215,0.03,-24.389999999999866,stop
2018-03-13,2018-03-14,1,1.3908225675201416,1.3972739226024797,0.11,70.19490590572002,tp
2018-03-30,2018-04-02,-1,1.4028777698898316,1.404637359707341,0.18,-32.93261671516819,stop
2018-04-04,2018-04-05,1,1.4069254775619506,1.4053654775619506,0.2,-32.600000000000115,stop
2018-04-06,2018-04-09,-1,1.400814137878418,1.4073833685534918,0.04,-26.556922700295022,stop
2018-04-09,2018-04-10,1,1.4092251439666748,1.4154361066788714,0.12,73.69155254636011,tp
2018-04-20,2018-04-27,-1,1.4085890869522095,1.3886490869522095,0.03,59.6100000000002,tp
2018-06-06,2018-06-08,1,1.3406683583831787,1.3370955080836822,0.09,-32.78565269546849,stop
2018-06-15,2018-06-28,-1,1.325602136077881,1.3056621360778808,0.03,59.6100000000002,tp
2018-07-05,2018-07-06,1,1.3229862828826904,1.3214262828826904,0.21,-34.23000000000012,stop
2018-07-12,2018-07-13,-1,1.3209439138793946,1.3172539138793946,0.21,76.01999999999937,tp
2018-07-16,2018-07-17,1,1.3228288074111938,1.3212283935263498,0.2,-33.40827769687998,stop
2018-07-18,2018-07-26,-1,1.3105560163879395,1.3186160163879395,0.03,-24.389999999999866,stop
2018-07-26,2018-07-27,1,1.3200177331542968,1.3160897420222049,0.08,-31.983929056735743,stop
2018-07-27,2018-07-31,-1,1.3108137468719483,1.316899471170929,0.05,-30.77862149490344,stop
2018-08-22,2018-08-23,1,1.290615715560913,1.2846746990830806,0.05,-30.055082389162035,stop
2018-08-24,2018-08-27,-1,1.281005821647644,1.2846944755924274,0.08,-30.069231558266786,stop
2018-08-27,2018-08-28,1,1.2861509700393676,1.2930166268154037,0.11,74.75222453639734,tp
2018-09-04,2018-09-05,-1,1.2868419508361817,1.2884019508361817,0.2,-32.600000000000115,stop
2018-09-06,2018-09-10,1,1.2915491242980957,1.3025357744819055,0.07,76.41655128666892,tp
2018-09-28,2018-10-01,-1,1.3078134874725342,1.3015060672216703,0.12,74.84904301036738,tp
2018-10-08,2018-10-09,1,1.31277493434906,1.3074116743886046,0.06,-32.59955976273235,stop
2018-10-15,2018-10-16,-1,1.310332737388611,1.311892737388611,0.21,-34.23000000000012,stop
2018-10-16,2018-10-17,1,1.315537967262268,1.310668930489825,0.06,-29.634220634658618,stop
2018-10-18,2018-10-19,-1,1.3103842358016968,1.3062068887436646,0.18,73.93224704457937,tp
2018-11-02,2018-11-07,1,1.3004331966018676,1.3169363061366555,0.04,65.73243813915136,tp
2018-11-12,2018-11-13,-1,1.2937851766967774,1.2975873992932885,0.08,-30.97778077208867,stop
2018-11-14,2018-11-15,1,1.3014655490493774,1.2953726912871522,0.05,-30.814288811126172,stop
2018-11-16,2018-11-19,-1,1.276590071144104,1.284650071144104,0.03,-24.389999999999866,stop
2018-12-21,2018-12-24,1,1.2670375485992431,1.265477548599243,0.21,-34.23000000000012,stop
2018-12-24,2018-12-25,-1,1.2648341278457642,1.2663941278457642,0.2,-32.600000000000115,stop
2018-12-25,2018-12-27,1,1.2711440702056884,1.2650649037077768,0.05,-30.74583248955813,stop
2018-12-27,2018-12-28,-1,1.2648181538009644,1.2663781538009644,0.2,-32.600000000000115,stop
2018-12-31,2019-01-02,1,1.269417681274414,1.2649198783564302,0.06,-27.406817507903103,stop
2019-01-03,2019-01-04,-1,1.2521313051605225,1.2601913051605225,0.03,-24.389999999999866,stop
2019-01-07,2019-01-17,1,1.2735560317611694,1.2934960317611695,0.03,59.6100000000002,tp
2019-02-05,2019-02-06,-1,1.3030413011932374,1.2993513011932374,0.2,72.39999999999941,tp
2019-02-20,2019-02-22,1,1.3061910052871704,1.2981310052871704,0.03,-24.389999999999866,stop
2019-03-08,2019-03-11,-1,1.3091832022094727,1.3005945455164722,0.08,68.1492535440037,tp
2019-03-12,2019-03-13,1,1.3249142547225952,1.3168542547225952,0.03,-24.389999999999866,stop
2019-03-13,2019-03-14,-1,1.3066171030426026,1.3143384610279876,0.04,-31.16543194153992,stop
2019-03-14,2019-03-18,1,1.3286282201385498,1.3205682201385498,0.03,-24.389999999999866,stop
2019-03-21,2019-03-22,-1,1.320473037185669,1.322033037185669,0.2,-32.600000000000115,stop
2019-03-25,2019-03-26,1,1.3207149882888793,1.3191549882888793,0.2,-32.600000000000115,stop
2019-03-28,2019-03-29,-1,1.3152103046798707,1.3014063430388356,0.05,68.66980820517519,tp
2019-04-04,2019-04-05,1,1.3177566905593872,1.315581008560775,0.14,-31.439547980568936,stop
2019-04-05,2019-04-16,-1,1.3076424221420289,1.3103325744247436,0.03,-8.280456848144224,ma_exit
2019-04-16,2019-04-17,1,1.3103325744247436,1.3087725744247436,0.2,-32.600000000000115,stop
2019-04-17,2019-04-24,-1,1.3045714716339112,1.2917459606183663,0.05,63.777555077724266,tp
2019-05-01,2019-05-03,1,1.3040449996566772,1.3174981782871302,0.05,66.91589315226517,tp
2019-05-09,2019-05-10,-1,1.3011422972106934,1.3027022972106934,0.2,-32.600000000000115,stop
2019-06-10,2019-06-11,1,1.2723570247268676,1.2693614543914216,0.1,-30.655703354460627,stop
2019-06-11,2019-06-12,-1,1.2690560440444947,1.2706160440444947,0.2,-32.600000000000115,stop
2019-06-12,2019-06-13,1,1.2725026984786987,1.2686186695393487,0.07,-27.678202575450182,stop
2019-06-14,2019-06-17,-1,1.2679456095123292,1.2642556095123292,0.2,72.39999999999941,tp
2019-06-20,2019-06-21,1,1.2657225509262084,1.2694125509262084,0.2,72.39999999999941,tp
2019-06-28,2019-07-01,-1,1.2676884750747681,1.2692484750747681,0.2,-32.600000000000115,stop
2019-07-01,2019-07-02,1,1.2695143600082397,1.2676696439981916,0.17,-32.55017217081766,stop
2019-07-02,2019-07-05,-1,1.2644023517990113,1.255084359319551,0.08,73.98393983568153,tp
2019-07-19,2019-07-22,1,1.2542457957839965,1.2526857957839965,0.2,-32.600000000000115,stop
2019-07-22,2019-07-23,-1,1.251222572746277,1.2452518659070044,0.12,70.80848207126972,tp
2019-08-19,2019-08-20,1,1.2161611695861816,1.2143628234610868,0.17,-31.761884126611164,stop
2019-08-20,2019-08-21,-1,1.2130906204605103,1.2146506204605103,0.2,-32.600000000000115,stop
2019-08-21,2019-08-22,1,1.2162943263626098,1.2129797934851545,0.09,-30.460795897097803,stop
2019-09-02,2019-09-03,-1,1.2158637861633301,1.211361974835251,0.16,70.90898124926449,tp
2019-09-05,2019-09-13,1,1.2249497552490234,1.2448897552490235,0.03,59.6100000000002,tp
2019-09-26,2019-10-01,-1,1.2358964304351807,1.223928047758016,0.06,71.39029606298894,tp
2019-10-11,2019-10-14,1,1.2433771272277832,1.2633171272277832,0.03,59.6100000000002,tp
2019-11-07,2019-11-08,-1,1.2856175522232056,1.2818059880329522,0.2,74.83128380506828,tp
2019-11-15,2019-11-18,1,1.2882384439086914,1.2930768113798288,0.16,76.29387953819867,tp
2019-11-25,2019-11-26,-1,1.2852871040725709,1.2892060489999846,0.08,-31.911559419309892,stop
2019-11-26,2019-11-27,1,1.289783515510559,1.288223515510559,0.21,-34.23000000000012,stop
2019-11-27,2019-11-28,-1,1.2860309700393677,1.2890339527671535,0.1,-30.729827277857634,stop
2019-11-28,2019-11-29,1,1.2930519958114624,1.2883441681867494,0.06,-28.66696574827801,stop
2019-12-18,2019-12-19,-1,1.3121554474258423,1.3081576861951878,0.19,74.62746338243625,tp
2019-12-30,2019-12-31,1,1.3092518230056762,1.3129418230056762,0.21,76.01999999999937,tp
2020-01-06,2020-01-07,-1,1.307950220527649,1.3117081978480598,0.08,-30.623818563286658,stop
2020-01-07,2020-01-08,1,1.317062534866333,1.3106266649394263,0.05,-32.5293496345335,stop
2020-01-09,2020-01-10,-1,1.3104530195617676,1.3067630195617677,0.21,76.01999999999937,tp
2020-01-23,2020-01-24,1,1.3145349402999877,1.3064749402999878,0.04,-32.519999999999825,stop
2020-01-27,2020-01-28,-1,1.3061221460723877,1.3024321460723878,0.21,76.01999999999937,tp
2020-01-31,2020-02-03,1,1.308960475502014,1.3054471860598116,0.09,-32.24960497982275,stop
2020-02-04,2020-02-14,-1,1.2996879438781739,1.3047424932098388,0.04,-20.49819732665975,ma_exit
2020-02-14,2020-02-18,1,1.3047424932098388,1.299985273177019,0.06,-28.963320196919184,stop
2020-02-19,2020-02-20,-1,1.3001609663391114,1.2964709663391114,0.21,76.01999999999937,tp
2020-02-26,2020-02-27,1,1.3003994603729248,1.2967984174634926,0.09,-33.03938618488976,stop
2020-02-27,2020-03-06,-1,1.290628991546631,1.2975076756554311,0.04,-27.79473643520086,stop
2020-03-06,2020-03-09,1,1.2951283832168579,1.307477394317796,0.06,73.67406660562865,tp
