symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
EURUSD,ema,89,slope_flip,1.5,10,0.6,2.3322,0.032,0.0144,0.0427,1.1,0.0,10.64,96.26,4031.93,4128.19,0.037174
EURUSD,ema,89,slope_flip,2.0,10,0.5,2.0958,0.033,0.0225,0.0342,1.13,0.0,13.15,119.66,4012.51,4132.17,0.028701
EURUSD,ema,89,slope_flip,2.5,10,0.5,2.6953,0.0511,0.0249,0.0342,1.75,0.0,16.31,161.82,4042.67,4204.49,0.027692
EURUSD,ema,89,pullback,1.5,99,0.202,0.3579,-0.2981,0.3209,0.1197,-10.19,0.0,27.71,0.0,2807.7,2807.7,0.060354
EURUSD,ema,89,pullback,2.0,98,0.1939,0.4504,-0.2637,0.2985,0.1197,-9.02,0.0,30.59,0.0,2945.13,2945.13,0.060721
EURUSD,ema,89,pullback,2.5,98,0.1837,0.5217,-0.2393,0.2872,0.1197,-8.18,0.0,32.46,0.0,3042.68,3042.68,0.060675
EURUSD,ema,100,flip,1.5,108,0.5,1.349,0.1428,0.0645,0.2845,4.92,0.0,28.97,530.02,4041.27,4571.3,0.195376
EURUSD,ema,100,flip,2.0,108,0.4537,1.5562,0.2478,0.0523,0.2672,8.54,0.0,33.75,773.3,4217.88,4991.18,0.17812
EURUSD,ema,100,flip,2.5,108,0.4444,1.8211,0.3934,0.0632,0.3017,13.56,0.0,42.59,1110.61,4462.92,5573.52,0.184459
EURUSD,ema,100,slope_flip,1.5,4,0.5,1.8729,0.0093,0.0117,0.0172,0.32,0.0,5.96,39.73,3997.3,4037.03,0.015858
EURUSD,ema,100,slope_flip,2.0,4,0.25,0.8775,-0.002,0.0237,0.0086,-0.07,0.0,6.54,29.31,3962.5,3991.82,0.00778
EURUSD,ema,100,slope_flip,2.5,4,0.25,1.0989,0.0017,0.0254,0.0086,0.06,0.0,7.72,36.71,3969.9,4006.6,0.007662
EURUSD,ema,100,pullback,1.5,75,0.2133,0.3796,-0.2302,0.2579,0.0948,-7.94,0.0,25.52,41.34,3037.9,3079.24,0.053353
EURUSD,ema,100,pullback,2.0,75,0.1867,0.4404,-0.2158,0.2559,0.1034,-7.44,0.0,28.05,55.96,3080.92,3136.89,0.056988
EURUSD,ema,100,pullback,2.5,75,0.1867,0.56,-0.1717,0.2277,0.1034,-5.92,0.0,31.15,72.4,3240.81,3313.21,0.057502
EURUSD,sma,21,flip,1.5,317,0.4069,0.9487,-0.067,0.13,0.4583,-2.23,0.0,45.83,111.01,3620.99,3732.0,0.253501
EURUSD,sma,21,flip,2.0,317,0.3691,1.0854,0.1223,0.1119,0.4583,4.08,0.0,56.62,551.32,3937.95,4489.27,0.238349
EURUSD,sma,21,flip,2.5,317,0.3407,1.2174,0.3243,0.165,0.525,10.81,7.5,66.22,1367.68,3929.49,5297.17,0.239829
EURUSD,sma,21,slope_flip,1.5,107,0.4299,1.0475,0.0201,0.1305,0.3,0.67,0.0,31.13,167.41,3912.93,4080.33,0.187787
EURUSD,sma,21,slope_flip,2.0,107,0.3832,1.1663,0.0758,0.1463,0.2833,2.53,0.0,38.28,346.24,3956.93,4303.17,0.163591
EURUSD,sma,21,slope_flip,2.5,107,0.3458,1.2194,0.105,0.1553,0.275,3.5,0.0,45.9,473.67,3946.46,4420.13,0.147605
EURUSD,sma,21,pullback,1.5,287,0.2125,0.3702,-0.6241,0.6241,0.2167,-20.8,-14.46,34.5,0.0,1503.49,1503.49,0.056898
EURUSD,sma,21,pullback,2.0,283,0.2014,0.4582,-0.5667,0.5667,0.2083,-18.89,-14.7,37.08,0.0,1733.19,1733.19,0.061681
EURUSD,sma,21,pullback,2.5,281,0.1851,0.5341,-0.5294,0.5294,0.2667,-17.65,-15.61,41.02,0.0,1882.23,1882.23,0.082952
EURUSD,sma,34,flip,1.5,235,0.3957,0.8944,-0.1014,0.1512,0.4202,-3.41,0.0,42.28,0.0,3594.23,3594.23,0.233326
EURUSD,sma,34,flip,2.0,235,0.3702,1.0854,0.0898,0.1214,0.395,3.02,0.0,52.34,449.75,3909.43,4359.18,0.209765
EURUSD,sma,34,flip,2.5,235,0.3319,1.1679,0.1871,0.1219,0.4538,6.29,0.0,58.32,773.56,3974.73,4748.29,0.230448
EURUSD,sma,34,slope_flip,1.5,81,0.4198,0.9888,-0.0036,0.1075,0.2353,-0.12,0.0,29.47,23.69,3961.76,3985.45,0.153463
EURUSD,sma,34,slope_flip,2.0,81,0.3951,1.1977,0.0691,0.1024,0.2353,2.32,0.0,35.9,298.95,3977.43,4276.38,0.145769
